taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
1489740,Globisporangium_solare,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_solare
118010,Rhabdomonas_costata,d__Eukaryota,k__Euglenozoa__P+,p__Euglenozoa,c__Euglenida,o__Rhabdomonadales,f__Astasiidae,g__Rhabdomonas,s__Rhabdomonas_costata
89957,Polarella_glacialis,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Suessiales,f__Suessiaceae,g__Polarella,s__Polarella_glacialis
601995,Entodinium_longinucleatum,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Litostomatea,o__Entodiniomorphida,f__Ophryoscolecidae,g__Entodinium,s__Entodinium_longinucleatum
5826,Plasmodium_chabaudi_adami,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_chabaudi
4792,Phytophthora_parasitica,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Peronosporales__O+,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_parasitica
195482,Cryptosporidium_canis,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Cryptosporidiidae,g__Cryptosporidium,s__Cryptosporidium_canis
1519616,Symbiodinium_sp_CCMP2456,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Suessiales,f__Symbiodiniaceae,g__Symbiodinium,s__Symbiodinium_sp_CCMP2456
361140,Rostrostelium_ellipticum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Acytosteliales,f__Acytosteliaceae,g__Rostrostelium,s__Rostrostelium_ellipticum
1027359,Nannochloropsis_oceanica_OZ_1,d__Eukaryota,k__Eustigmatophyceae__C+,p__Eustigmatophyceae__C+,c__Eustigmatophyceae,o__Eustigmatales,f__Monodopsidaceae,g__Nannochloropsis,s__Nannochloropsis_oceanica
29204,Cyclotella_cryptica,d__Eukaryota,k__Bacillariophyta__P+,p__Bacillariophyta,c__Coscinodiscophyceae,o__Thalassiosirales,f__Stephanodiscaceae,g__Cyclotella,s__Cyclotella_cryptica
1746091,Anaeramoeba_flamelloides,d__Eukaryota,k__Anaeramoeba__G+,p__Anaeramoeba__G+,c__Anaeramoeba__G+,o__Anaeramoeba__G+,f__Anaeramoeba__G+,g__Anaeramoeba,s__Anaeramoeba_flamelloides
2996,Hydrurus_foetidus,d__Eukaryota,k__Chrysophyceae__C+,p__Chrysophyceae__C+,c__Chrysophyceae,o__Hydrurales,f__Hydruraceae,g__Hydrurus,s__Hydrurus_foetidus
