taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
619731,Halostagnicola_kamekurae,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola_kamekurae
1671876,Nitrosopumilus_sp_LS_AOA,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Nitrosopumilales__O+,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus_sp_LS_AOA
427318,Sulfolobus_islandicus_M_16_27,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
392421,Haloterrigena_hispanica,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena_hispanica
2250257,Candidatus_Verstraetearchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Verstraetearchaeota,c__Candidatus_Verstraetearchaeota_archaeon__S+,o__Candidatus_Verstraetearchaeota_archaeon__S+,f__Candidatus_Verstraetearchaeota_archaeon__S+,g__Candidatus_Verstraetearchaeota_archaeon__S+,s__Candidatus_Verstraetearchaeota_archaeon
1934982,Archaeoglobus_sp_JdFR_25,d__Archaea,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_sp_JdFR_25
2282146,Candidatus_Methanomethyliaceae_archaeon,d__Archaea,k__Archaea,p__Candidatus_Verstraetearchaeota,c__Candidatus_Methanomethylia,o__Candidatus_Methanomethyliales,f__Candidatus_Methanomethyliaceae,g__Candidatus_Methanomethyliaceae_archaeon__S+,s__Candidatus_Methanomethyliaceae_archaeon
1915979,Euryarchaeota_archaeon_UBA87,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__Euryarchaeota_archaeon_UBA87__S+,g__Euryarchaeota_archaeon_UBA87__S+,s__Euryarchaeota_archaeon_UBA87
1702097,Saccharolobus_caldissimus,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus_caldissimus
1974459,Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12,d__Archaea,k__Archaea,p__Candidatus_Woesearchaeota,c__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12__S+,o__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12__S+,f__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12__S+,g__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12__S+,s__Candidatus_Woesearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_33_12
2265,Thermococcus_litoralis,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_litoralis
1126236,Halobellus_inordinatus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Halobellus,s__Halobellus_inordinatus
1915579,Methanosarcina_sp_UBA338,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA338
2268143,Methanolinea_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanolinea,s__Methanolinea_sp
1476858,Haloferax_massiliensis,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloferax,s__Haloferax_massiliensis
1918499,Methanoculleus_sp_EBM_46,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,s__Methanoculleus_sp_EBM_46
419665,Methanococcus_aeolicus_Nankai_3,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus_aeolicus
1919210,Halobacteriales_archaeon_SW_9_67_25,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriales_archaeon_SW_9_67_25__S+,g__Halobacteriales_archaeon_SW_9_67_25__S+,s__Halobacteriales_archaeon_SW_9_67_25
2831058,Candidatus_Altiarchaeum_sp_HURL_250,d__Archaea,k__Archaea,p__Candidatus_Altiarchaeota,c__Candidatus_Altiarchaeales__O+,o__Candidatus_Altiarchaeales,f__Candidatus_Altiarchaeum__G+,g__Candidatus_Altiarchaeum,s__Candidatus_Altiarchaeum_sp_HURL_250
1592728,Haloarcula_sp_CBA1115,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_sp_CBA1115
1798806,Candidatus_Nitrosocosmicus_franklandus,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrosocosmicus,s__Candidatus_Nitrosocosmicus_franklandus
1915902,Euryarchaeota_archaeon_UBA495,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__Euryarchaeota_archaeon_UBA495__S+,g__Euryarchaeota_archaeon_UBA495__S+,s__Euryarchaeota_archaeon_UBA495
2026768,Nitrosopumilales_archaeon,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Nitrosopumilales__O+,o__Nitrosopumilales,f__Nitrosopumilales_archaeon__S+,g__Nitrosopumilales_archaeon__S+,s__Nitrosopumilales_archaeon
190974,Methanobrevibacter_gottschalkii,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_gottschalkii
187880,Thermococcus_radiotolerans,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_radiotolerans
1915653,Methanomassiliicoccaceae_archaeon_UBA378,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccaceae_archaeon_UBA378__S+,s__Methanomassiliicoccaceae_archaeon_UBA378
2202732,Nitrosopumilaceae_archaeon,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Nitrosopumilales__O+,o__Nitrosopumilales,f__Nitrosopumilaceae,g__Nitrosopumilaceae_archaeon__S+,s__Nitrosopumilaceae_archaeon
2060325,Aciduliprofundum_sp,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Aciduliprofundum__G+,o__Aciduliprofundum__G+,f__Aciduliprofundum__G+,g__Aciduliprofundum,s__Aciduliprofundum_sp
139207,Thermococcus_alcaliphilus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_alcaliphilus
2218537,Candidatus_Helarchaeota_ASGARD_archaeon_Hel_GB_B,d__Archaea,k__Archaea,p__Candidatus_Helarchaeota,c__Candidatus_Helarchaeota_ASGARD_archaeon_Hel_GB_B__S+,o__Candidatus_Helarchaeota_ASGARD_archaeon_Hel_GB_B__S+,f__Candidatus_Helarchaeota_ASGARD_archaeon_Hel_GB_B__S+,g__Candidatus_Helarchaeota_ASGARD_archaeon_Hel_GB_B__S+,s__Candidatus_Helarchaeota_ASGARD_archaeon_Hel_GB_B
2052684,Methanomicrobium_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanomicrobium,s__Methanomicrobium_sp
1661711,Thaumarchaeota_archaeon_casp_thauma1,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Thaumarchaeota_archaeon_casp_thauma1__S+,o__Thaumarchaeota_archaeon_casp_thauma1__S+,f__Thaumarchaeota_archaeon_casp_thauma1__S+,g__Thaumarchaeota_archaeon_casp_thauma1__S+,s__Thaumarchaeota_archaeon_casp_thauma1
1811730,Methanomassiliicoccales_archaeon_PtaU1_Bin124,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccales_archaeon_PtaU1_Bin124__S+,g__Methanomassiliicoccales_archaeon_PtaU1_Bin124__S+,s__Methanomassiliicoccales_archaeon_PtaU1_Bin124
2518114,Halorubrum_sp_ASP1,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_sp_ASP1
1855872,Halorubrum_sp_ARQ200,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_sp_ARQ200
1919190,Halobacteriales_archaeon_QS_9_67_17,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriales_archaeon_QS_9_67_17__S+,g__Halobacteriales_archaeon_QS_9_67_17__S+,s__Halobacteriales_archaeon_QS_9_67_17
90426,Methanothrix_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanothrix_sp
2885756,Candidatus_Tiddalikarchaeum_anstoanum,d__Archaea,k__Archaea,p__Nanoarchaeota,c__Candidatus_Nanoarchaeia,o__Candidatus_Tiddalikarchaeales,f__Candidatus_Tiddalikarchaeaceae,g__Candidatus_Tiddalikarchaeum,s__Candidatus_Tiddalikarchaeum_anstoanum
1803818,Thermoplasmatales_archaeon_SG8_52_3,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmatales_archaeon_SG8_52_3__S+,g__Thermoplasmatales_archaeon_SG8_52_3__S+,s__Thermoplasmatales_archaeon_SG8_52_3
2012491,Candidatus_Lokiarchaeota_archaeon_Loki_b32,d__Archaea,k__Archaea,p__Candidatus_Lokiarchaeota,c__Candidatus_Lokiarchaeota_archaeon_Loki_b32__S+,o__Candidatus_Lokiarchaeota_archaeon_Loki_b32__S+,f__Candidatus_Lokiarchaeota_archaeon_Loki_b32__S+,g__Candidatus_Lokiarchaeota_archaeon_Loki_b32__S+,s__Candidatus_Lokiarchaeota_archaeon_Loki_b32
1227499,Natronolimnohabitans_innermongolicus_JCM_12255,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natronolimnohabitans,s__Natronolimnohabitans_innermongolicus
1915562,Methanosaeta_sp_UBA533,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanosaeta_sp_UBA533
1915576,Methanosarcina_sp_UBA301,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA301
1934988,Archaeoglobus_sp_JdFR_31,d__Archaea,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_sp_JdFR_31
1230457,Haloterrigena_limicola_JCM_13563,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Haloterrigena,s__Haloterrigena_limicola
282676,Acidianus_manzaensis,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus_manzaensis
360836,uncultured_marine_group_III_euryarchaeote,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__uncultured_marine_group_III_euryarchaeote__S+,f__uncultured_marine_group_III_euryarchaeote__S+,g__uncultured_marine_group_III_euryarchaeote__S+,s__uncultured_marine_group_III_euryarchaeote
1036677,Methanosarcina_soligelidi,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_soligelidi
1803819,Thermoplasmatales_archaeon_SG8_52_4,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmatales_archaeon_SG8_52_4__S+,g__Thermoplasmatales_archaeon_SG8_52_4__S+,s__Thermoplasmatales_archaeon_SG8_52_4
1765655,Halorubrum_tropicale,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_tropicale
2675002,Halalkalicoccus_subterraneus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halalkalicoccus,s__Halalkalicoccus_subterraneus
1974451,Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5,d__Archaea,k__Archaea,p__Candidatus_Woesearchaeota,c__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5__S+,o__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5__S+,f__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5__S+,g__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5__S+,s__Candidatus_Woesearchaeota_archaeon_CG_4_10_14_0_8_um_filter_47_5
1915591,Methanosarcina_sp_UBA43,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA43
1455608,Haladaptatus_cibarius_D43,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Haladaptatus,s__Haladaptatus_cibarius
1915635,Methanomassiliicoccaceae_archaeon_UBA306,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccaceae_archaeon_UBA306__S+,s__Methanomassiliicoccaceae_archaeon_UBA306
797299,Halostagnicola_larsenii_XH_48,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola_larsenii
1679091,Natrarchaeobius_halalkaliphilus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natrarchaeobius,s__Natrarchaeobius_halalkaliphilus
2878535,Natrinema_sp_SLN56,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natrinema,s__Natrinema_sp_SLN56
2173,Methanobrevibacter_smithii,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_smithii
2026714,Candidatus_Bathyarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Bathyarchaeota,c__Candidatus_Bathyarchaeota_archaeon__S+,o__Candidatus_Bathyarchaeota_archaeon__S+,f__Candidatus_Bathyarchaeota_archaeon__S+,g__Candidatus_Bathyarchaeota_archaeon__S+,s__Candidatus_Bathyarchaeota_archaeon
2599936,DPANN_group_archaeon,d__Archaea,k__Archaea,p__DPANN_group_archaeon__S+,c__DPANN_group_archaeon__S+,o__DPANN_group_archaeon__S+,f__DPANN_group_archaeon__S+,g__DPANN_group_archaeon__S+,s__DPANN_group_archaeon
311458,Candidatus_Caldarchaeum_subterraneum,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Candidatus_Caldarchaeum__G+,o__Candidatus_Caldarchaeum__G+,f__Candidatus_Caldarchaeum__G+,g__Candidatus_Caldarchaeum,s__Candidatus_Caldarchaeum_subterraneum
2052935,Methanolobus_halotolerans,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanolobus,s__Methanolobus_halotolerans
190976,Methanobrevibacter_woesei,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter,s__Methanobrevibacter_woesei
1915452,Methanobacterium_sp_UBA379,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_sp_UBA379
2692200,Halobacterium_sp_PCN9,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium_sp_PCN9
2026764,Nanoarchaeota_archaeon,d__Archaea,k__Archaea,p__Nanoarchaeota,c__Nanoarchaeota_archaeon__S+,o__Nanoarchaeota_archaeon__S+,f__Nanoarchaeota_archaeon__S+,g__Nanoarchaeota_archaeon__S+,s__Nanoarchaeota_archaeon
699431,Halolamina_pelagica,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halolamina,s__Halolamina_pelagica
439386,Sulfolobus_islandicus_Y_G_57_14,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
2058474,Methanocorpusculum_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__Methanocorpusculum_sp
1325472,halophilic_archaeon_J07HX5,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__halophilic_archaeon_J07HX5__S+,g__halophilic_archaeon_J07HX5__S+,s__halophilic_archaeon_J07HX5
2604873,Cenarchaeum_sp_SB0662_bin_33,d__Archaea,k__Archaea,p__Thaumarchaeota,c__Cenarchaeales__O+,o__Cenarchaeales,f__Cenarchaeaceae,g__Cenarchaeum,s__Cenarchaeum_sp_SB0662_bin_33
2682607,Methanocorpusculaceae_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculaceae_archaeon__S+,s__Methanocorpusculaceae_archaeon
1849166,Candidatus_Lokiarchaeota_archaeon_CR_4,d__Archaea,k__Archaea,p__Candidatus_Lokiarchaeota,c__Candidatus_Lokiarchaeota_archaeon_CR_4__S+,o__Candidatus_Lokiarchaeota_archaeon_CR_4__S+,f__Candidatus_Lokiarchaeota_archaeon_CR_4__S+,g__Candidatus_Lokiarchaeota_archaeon_CR_4__S+,s__Candidatus_Lokiarchaeota_archaeon_CR_4
1227452,Haloarcula_amylolytica_JCM_13557,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_amylolytica
2800102,Candidatus_Hodarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Hodarchaeota,c__Candidatus_Hodarchaeota_archaeon__S+,o__Candidatus_Hodarchaeota_archaeon__S+,f__Candidatus_Hodarchaeota_archaeon__S+,g__Candidatus_Hodarchaeota_archaeon__S+,s__Candidatus_Hodarchaeota_archaeon
425944,Sulfolobus_islandicus_L_D_8_5,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
1811683,Methanosaeta_sp_PtaB_Bin005,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanosaeta_sp_PtaB_Bin005
932660,Haloarcula_sebkhae,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_sebkhae
1710536,Halorussus_litoreus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halorussus,s__Halorussus_litoreus
188937,Methanosarcina_acetivorans_C2A,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_acetivorans
1915587,Methanosarcina_sp_UBA398,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA398
768733,Methanosalsum_natronophilum,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosalsum,s__Methanosalsum_natronophilum
1638221,Thermococcus_sp_21S7,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_sp_21S7
1915674,Methanomassiliicoccaceae_archaeon_UBA483,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccaceae_archaeon_UBA483__S+,s__Methanomassiliicoccaceae_archaeon_UBA483
2052831,Methanocella_sp_CWC_04,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanocellales,f__Methanocellaceae,g__Methanocella,s__Methanocella_sp_CWC_04
255616,Haloferax_sulfurifontis,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloferax,s__Haloferax_sulfurifontis
2715752,Halolamina_sp_R1_12,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halolamina,s__Halolamina_sp_R1_12
43080,Sulfolobus_islandicus,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
1132505,Sulfolobus_islandicus_M_16_46,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
767517,Halorubrum_salinum,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_salinum
634497,Haloarcula_hispanica_ATCC_33960,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_hispanica
2056631,Crenarchaeota_archaeon,d__Archaea,k__Archaea,p__Crenarchaeota,c__Crenarchaeota_archaeon__S+,o__Crenarchaeota_archaeon__S+,f__Crenarchaeota_archaeon__S+,g__Crenarchaeota_archaeon__S+,s__Crenarchaeota_archaeon
2093797,Halorubraceae_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubraceae_archaeon__S+,s__Halorubraceae_archaeon
376542,uncultured_Thermoplasmata_archaeon,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__uncultured_Thermoplasmata_archaeon__S+,f__uncultured_Thermoplasmata_archaeon__S+,g__uncultured_Thermoplasmata_archaeon__S+,s__uncultured_Thermoplasmata_archaeon
2884876,Haladaptatus_sp_PSR8,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Haladaptatus,s__Haladaptatus_sp_PSR8
1912863,Candidatus_Micrarchaeum_sp_ARMAN_1,d__Archaea,k__Archaea,p__Candidatus_Micrarchaeota,c__Candidatus_Micrarchaeia,o__Candidatus_Micrarchaeales,f__Candidatus_Micrarchaeaceae,g__Candidatus_Micrarchaeum,s__Candidatus_Micrarchaeum_sp_ARMAN_1
122420,Thermococcus_sp_P6,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_sp_P6
1853686,Haloarcula_sp_CBA1131,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula_sp_CBA1131
1915558,Methanosaeta_sp_UBA332,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanosaeta_sp_UBA332
1915559,Methanosaeta_sp_UBA356,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanosaeta_sp_UBA356
1915463,Methanobacterium_sp_UBA419,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_sp_UBA419
2583992,Halorubrum_depositum,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_depositum
259564,Methanococcoides_burtonii_DSM_6242,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanococcoides,s__Methanococcoides_burtonii
1204725,Methanobacterium_formicicum_DSM_3637,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_formicicum
2053490,Candidatus_Odinarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Odinarchaeota,c__Candidatus_Odinarchaeota_archaeon__S+,o__Candidatus_Odinarchaeota_archaeon__S+,f__Candidatus_Odinarchaeota_archaeon__S+,g__Candidatus_Odinarchaeota_archaeon__S+,s__Candidatus_Odinarchaeota_archaeon
1915466,Methanobacterium_sp_UBA428,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_sp_UBA428
1915673,Methanomassiliicoccaceae_archaeon_UBA482,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccaceae,g__Methanomassiliicoccaceae_archaeon_UBA482__S+,s__Methanomassiliicoccaceae_archaeon_UBA482
1933278,Thermoplasmata_archaeon_M8B2D,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmata_archaeon_M8B2D__S+,f__Thermoplasmata_archaeon_M8B2D__S+,g__Thermoplasmata_archaeon_M8B2D__S+,s__Thermoplasmata_archaeon_M8B2D
2198,Methanoculleus_marisnigri,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,s__Methanoculleus_marisnigri
1915605,Thermocladium_sp_UBA166,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Thermocladium,s__Thermocladium_sp_UBA166
