"generation"	"mean"	"se"	"Group"
250000	0.0001706585	7.653219e-06	"MD"
260000	0.0001733935	7.98648e-06	"MD"
270000	0.0001760483	8.66589e-06	"MD"
280000	0.0001786481	8.963292e-06	"MD"
290000	0.0001815037	8.863601e-06	"MD"
3e+05	0.0001842795	9.387178e-06	"MD"
310000	0.0001864067	9.68436e-06	"MD"
320000	0.0001886629	9.967685e-06	"MD"
330000	0.0001906835	1.094469e-05	"MD"
340000	0.0001929791	1.139135e-05	"MD"
350000	0.0001949493	1.213191e-05	"MD"
360000	0.00019758	1.152989e-05	"MD"
370000	0.000199741	1.309903e-05	"MD"
380000	0.0002014481	1.321982e-05	"MD"
390000	0.0002032382	1.340059e-05	"MD"
4e+05	0.0002045828	1.376188e-05	"MD"
410000	0.0002059626	1.488357e-05	"MD"
420000	0.0002067808	1.53335e-05	"MD"
430000	0.0002086958	1.577111e-05	"MD"
440000	0.0002096025	1.668025e-05	"MD"
450000	0.000212086	1.600825e-05	"MD"
460000	0.0002133343	1.621743e-05	"MD"
470000	0.0002156199	1.571891e-05	"MD"
480000	0.0002162476	1.654365e-05	"MD"
490000	0.0002170758	1.672336e-05	"MD"
5e+05	0.0002194399	1.65152e-05	"MD"
510000	0.0002220241	1.754511e-05	"MD"
520000	0.0002228337	1.761803e-05	"MD"
530000	0.0002242583	1.70202e-05	"MD"
540000	0.0002249695	1.730205e-05	"MD"
550000	0.0002260827	1.890198e-05	"MD"
560000	0.0002279801	1.847604e-05	"MD"
570000	0.0002288002	1.938231e-05	"MD"
580000	0.0002294835	2.076322e-05	"MD"
590000	0.0002303897	2.132309e-05	"MD"
6e+05	0.0002308714	2.123195e-05	"MD"
610000	0.0002321773	2.159269e-05	"MD"
620000	0.0002341688	2.08074e-05	"MD"
630000	0.0002348972	2.152659e-05	"MD"
640000	0.0002359928	2.291871e-05	"MD"
650000	0.0002368536	2.295244e-05	"MD"
660000	0.0002388396	2.361589e-05	"MD"
670000	0.0002395712	2.357332e-05	"MD"
680000	0.0002409688	2.36197e-05	"MD"
690000	0.0002422454	2.316288e-05	"MD"
7e+05	0.0002430341	2.334277e-05	"MD"
710000	0.000243575	2.44301e-05	"MD"
720000	0.0002427316	2.663362e-05	"MD"
730000	0.0002451895	2.623609e-05	"MD"
740000	0.0002466341	2.678068e-05	"MD"
750000	0.0002458308	2.795121e-05	"MD"
760000	0.000245942	2.721462e-05	"MD"
770000	0.000246297	2.660097e-05	"MD"
780000	0.0002464854	2.730229e-05	"MD"
790000	0.0002472125	2.771618e-05	"MD"
8e+05	0.0002488373	2.759729e-05	"MD"
810000	0.0002495681	2.774407e-05	"MD"
820000	0.0002486686	2.767884e-05	"MD"
830000	0.0002489586	2.807052e-05	"MD"
840000	0.0002471027	2.873308e-05	"MD"
850000	0.0002488082	2.946305e-05	"MD"
860000	0.0002500598	3.063923e-05	"MD"
870000	0.0002499498	3.1054e-05	"MD"
880000	0.0002494314	3.065675e-05	"MD"
890000	0.0002495256	3.185333e-05	"MD"
9e+05	0.0002490345	3.416273e-05	"MD"
910000	0.0002504212	3.530129e-05	"MD"
920000	0.0002517667	3.61562e-05	"MD"
930000	0.0002518283	3.40991e-05	"MD"
940000	0.0002515545	3.473398e-05	"MD"
950000	0.0002524272	3.403884e-05	"MD"
960000	0.0002516581	3.527951e-05	"MD"
970000	0.0002521473	3.591356e-05	"MD"
980000	0.0002510684	3.618658e-05	"MD"
990000	0.0002508798	3.666368e-05	"MD"
1e+06	0.0002507368	3.781262e-05	"MD"
10000	1.751474e-05	5.225577e-07	"MDH"
1e+05	0.0001069547	1.304005e-06	"MDH"
1e+06	0.0002451063	3.860786e-06	"MDH"
110000	0.0001126314	9.232635e-07	"MDH"
120000	0.0001181166	1.465348e-06	"MDH"
130000	0.0001234174	1.421569e-06	"MDH"
140000	0.0001282215	1.710375e-06	"MDH"
150000	0.00013276	1.299308e-06	"MDH"
160000	0.0001368953	1.555197e-06	"MDH"
170000	0.0001412373	1.514316e-06	"MDH"
180000	0.0001451744	1.853993e-06	"MDH"
190000	0.0001492604	1.918411e-06	"MDH"
20000	3.419285e-05	3.770327e-07	"MDH"
2e+05	0.0001526913	1.88871e-06	"MDH"
210000	0.0001559372	2.303645e-06	"MDH"
220000	0.0001591537	2.171396e-06	"MDH"
230000	0.0001627997	1.793875e-06	"MDH"
240000	0.0001656287	2.073915e-06	"MDH"
250000	0.0001685587	2.203877e-06	"MDH"
260000	0.0001710926	2.232639e-06	"MDH"
270000	0.0001735364	2.176609e-06	"MDH"
280000	0.0001760041	2.308287e-06	"MDH"
290000	0.0001784241	2.239593e-06	"MDH"
30000	4.669296e-05	8.108673e-07	"MDH"
3e+05	0.0001806243	2.631672e-06	"MDH"
310000	0.0001828669	2.757729e-06	"MDH"
320000	0.000184844	2.553822e-06	"MDH"
330000	0.0001869495	2.712604e-06	"MDH"
340000	0.0001891562	2.550711e-06	"MDH"
350000	0.0001909257	2.619463e-06	"MDH"
360000	0.0001928072	2.424947e-06	"MDH"
370000	0.0001945269	2.157188e-06	"MDH"
380000	0.0001960637	2.288945e-06	"MDH"
390000	0.0001978528	1.917985e-06	"MDH"
40000	5.817801e-05	7.28871e-07	"MDH"
4e+05	0.0001996634	1.825038e-06	"MDH"
410000	0.0002007681	1.909176e-06	"MDH"
420000	0.0002023781	2.147098e-06	"MDH"
430000	0.0002037559	2.18381e-06	"MDH"
440000	0.0002049246	1.56346e-06	"MDH"
450000	0.0002065116	1.626076e-06	"MDH"
460000	0.0002081496	1.482328e-06	"MDH"
470000	0.0002086806	1.379482e-06	"MDH"
480000	0.0002100016	1.323414e-06	"MDH"
490000	0.0002109447	1.494275e-06	"MDH"
50000	6.869141e-05	8.772073e-07	"MDH"
5e+05	0.0002122909	1.983142e-06	"MDH"
510000	0.000213397	2.620073e-06	"MDH"
520000	0.0002142523	3.199457e-06	"MDH"
530000	0.0002151771	2.795842e-06	"MDH"
540000	0.0002161941	2.789541e-06	"MDH"
550000	0.0002173105	2.970042e-06	"MDH"
560000	0.0002180919	3.118109e-06	"MDH"
570000	0.0002192337	3.098242e-06	"MDH"
580000	0.0002197424	3.675869e-06	"MDH"
590000	0.0002207412	3.400926e-06	"MDH"
60000	7.767576e-05	1.351551e-06	"MDH"
6e+05	0.0002219056	3.554584e-06	"MDH"
610000	0.0002231641	3.602021e-06	"MDH"
620000	0.0002238618	3.562038e-06	"MDH"
630000	0.0002245267	3.791308e-06	"MDH"
640000	0.0002256351	4.081919e-06	"MDH"
650000	0.0002265955	4.232276e-06	"MDH"
660000	0.0002271392	4.802652e-06	"MDH"
670000	0.0002274972	4.99984e-06	"MDH"
680000	0.0002280298	4.535959e-06	"MDH"
690000	0.0002286725	4.509577e-06	"MDH"
70000	8.576009e-05	9.56013e-07	"MDH"
7e+05	0.000229282	4.221244e-06	"MDH"
710000	0.000229872	3.987403e-06	"MDH"
720000	0.0002311152	3.895108e-06	"MDH"
730000	0.0002322385	4.016337e-06	"MDH"
740000	0.0002328036	3.662834e-06	"MDH"
750000	0.0002333954	3.361525e-06	"MDH"
760000	0.0002342056	2.986686e-06	"MDH"
770000	0.0002347351	2.805033e-06	"MDH"
780000	0.0002350283	3.27265e-06	"MDH"
790000	0.000235194	3.225069e-06	"MDH"
80000	9.358959e-05	9.690429e-07	"MDH"
8e+05	0.0002359113	3.029922e-06	"MDH"
810000	0.0002363185	3.135956e-06	"MDH"
820000	0.0002368057	3.029599e-06	"MDH"
830000	0.0002374457	3.383327e-06	"MDH"
840000	0.0002377355	3.252013e-06	"MDH"
850000	0.0002380886	2.986447e-06	"MDH"
860000	0.0002388795	3.198005e-06	"MDH"
870000	0.0002396331	3.061184e-06	"MDH"
880000	0.0002402014	2.707397e-06	"MDH"
890000	0.0002406611	3.105285e-06	"MDH"
90000	0.0001007352	1.366612e-06	"MDH"
9e+05	0.0002406061	3.329886e-06	"MDH"
910000	0.0002408339	4.005794e-06	"MDH"
920000	0.0002413095	4.241603e-06	"MDH"
930000	0.000242073	4.505064e-06	"MDH"
940000	0.0002427971	4.635313e-06	"MDH"
950000	0.000243133	4.371922e-06	"MDH"
960000	0.0002434244	4.404571e-06	"MDH"
970000	0.0002434927	3.5886e-06	"MDH"
980000	0.0002442059	3.507206e-06	"MDH"
990000	0.0002445483	3.524497e-06	"MDH"
10000	2.014709e-05	5.555334e-07	"MDH+25%ANG"
1e+05	0.0001258486	2.19066e-06	"MDH+25%ANG"
1e+06	0.0003120931	2.456279e-05	"MDH+25%ANG"
110000	0.0001334032	1.800447e-06	"MDH+25%ANG"
120000	0.0001402906	2.485499e-06	"MDH+25%ANG"
130000	0.0001474072	3.160176e-06	"MDH+25%ANG"
140000	0.0001539773	3.026182e-06	"MDH+25%ANG"
150000	0.0001593358	4.055736e-06	"MDH+25%ANG"
160000	0.0001643237	3.900396e-06	"MDH+25%ANG"
170000	0.0001701578	4.278342e-06	"MDH+25%ANG"
180000	0.000175196	3.548354e-06	"MDH+25%ANG"
190000	0.0001796467	4.126243e-06	"MDH+25%ANG"
20000	3.77854e-05	7.343127e-07	"MDH+25%ANG"
2e+05	0.0001850366	3.738386e-06	"MDH+25%ANG"
210000	0.0001894553	4.629472e-06	"MDH+25%ANG"
220000	0.0001954481	4.675196e-06	"MDH+25%ANG"
230000	0.0002002741	4.399258e-06	"MDH+25%ANG"
240000	0.0002038013	4.233799e-06	"MDH+25%ANG"
250000	0.0002079566	4.788263e-06	"MDH+25%ANG"
